 Total battles: 1929879
 Avg. weight/team: 0.057
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 49.69276% | 1072193 | 27.779% | 910598 | 31.165% | 
 | 2    | Tapu Koko          | 25.46357% | 668187 | 17.312% | 526493 | 18.019% | 
 | 3    | Magearna           | 22.74431% | 406167 | 10.523% | 321353 | 10.998% | 
 | 4    | Greninja-Ash       | 19.19768% | 571382 | 14.804% | 421476 | 14.425% | 
 | 5    | Heatran            | 19.11851% | 486202 | 12.597% | 395568 | 13.538% | 
 | 6    | Kartana            | 19.04394% | 462773 | 11.990% | 336640 | 11.522% | 
 | 7    | Ferrothorn         | 17.55359% | 576877 | 14.946% | 489105 | 16.740% | 
 | 8    | Zygarde            | 15.66714% | 282479 |  7.319% | 206168 |  7.056% | 
 | 9    | Tapu Lele          | 14.64723% | 338842 |  8.779% | 251358 |  8.603% | 
 | 10   | Zapdos             | 13.84195% | 347956 |  9.015% | 273633 |  9.365% | 
 | 11   | Toxapex            | 13.19907% | 407867 | 10.567% | 312789 | 10.705% | 
 | 12   | Tapu Bulu          | 11.31359% | 246298 |  6.381% | 188675 |  6.457% | 
 | 13   | Hawlucha           | 11.09116% | 289089 |  7.490% | 193429 |  6.620% | 
 | 14   | Greninja           | 10.67429% | 355415 |  9.208% | 270286 |  9.251% | 
 | 15   | Clefable           | 10.48482% | 260839 |  6.758% | 192892 |  6.602% | 
 | 16   | Chansey            | 10.20880% | 298134 |  7.724% | 224260 |  7.675% | 
 | 17   | Scizor-Mega        |  9.30486% | 251634 |  6.519% | 193455 |  6.621% | 
 | 18   | Medicham-Mega      |  8.41184% | 200966 |  5.207% | 156948 |  5.372% | 
 | 19   | Tapu Fini          |  7.99271% | 213320 |  5.527% | 172984 |  5.920% | 
 | 20   | Excadrill          |  7.36040% | 288411 |  7.472% | 220155 |  7.535% | 
 | 21   | Magnezone          |  7.22242% | 236454 |  6.126% | 184088 |  6.300% | 
 | 22   | Skarmory           |  6.96438% | 239108 |  6.195% | 196745 |  6.734% | 
 | 23   | Tangrowth          |  6.94302% | 185379 |  4.803% | 141026 |  4.827% | 
 | 24   | Celesteela         |  6.85619% | 269309 |  6.977% | 211533 |  7.240% | 
 | 25   | Pinsir-Mega        |  6.43728% | 144959 |  3.756% | 101175 |  3.463% | 
 | 26   | Tyranitar          |  6.11665% | 228825 |  5.928% | 176407 |  6.038% | 
 | 27   | Keldeo             |  6.00625% | 162169 |  4.202% | 122510 |  4.193% | 
 | 28   | Mimikyu            |  5.73884% | 288036 |  7.463% | 200613 |  6.866% | 
 | 29   | Kyurem-Black       |  5.72020% | 182952 |  4.740% | 133479 |  4.568% | 
 | 30   | Tornadus-Therian   |  5.64710% | 113075 |  2.930% | 87741  |  3.003% | 
 | 31   | Mew                |  5.58354% | 179668 |  4.655% | 138177 |  4.729% | 
 | 32   | Pelipper           |  5.48899% | 173436 |  4.493% | 156781 |  5.366% | 
 | 33   | Victini            |  5.44685% | 180681 |  4.681% | 136510 |  4.672% | 
 | 34   | Swampert-Mega      |  5.43428% | 177534 |  4.600% | 143230 |  4.902% | 
 | 35   | Garchomp           |  5.22990% | 322307 |  8.350% | 241352 |  8.260% | 
 | 36   | Mawile-Mega        |  5.13753% | 145543 |  3.771% | 106251 |  3.636% | 
 | 37   | Gyarados-Mega      |  4.95904% | 139018 |  3.602% | 104290 |  3.569% | 
 | 38   | Latios             |  4.80543% | 190711 |  4.941% | 136016 |  4.655% | 
 | 39   | Lopunny-Mega       |  4.65335% | 229210 |  5.938% | 174374 |  5.968% | 
 | 40   | Volcarona          |  4.64291% | 281708 |  7.299% | 200711 |  6.869% | 
 | 41   | Rotom-Wash         |  4.48939% | 273066 |  7.075% | 226408 |  7.749% | 
